name,value,unit,source
tsp_road_g_per_km_n1_iii,0.0210,g/km,"EMEP/EEA GB ch. 1.A.3.b.vii Tab. 3-8 road surface wear TSP, LCV (N1-II, III) -- source groups II and III; quality code C-D"
pm10_frac_tyre,0.600,fraction,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-5 mass fraction PM10 of TSP, tyre wear"
pm10_frac_brake,0.980,fraction,"EMEP/EEA GB ch. 1.A.3.b.vi Tab. 3-7 mass fraction PM10 of TSP, brake wear"
pm10_frac_road,0.50,fraction,"EMEP/EEA GB ch. 1.A.3.b.vii Tab. 3-9 mass fraction PM10 of TSP, road surface wear"
bev_tyre_mult,1.0841,factor,"guidebook-internal ICE->BEV ratio, medium passenger car: Tab. 3-4 BEV Medium 0.0116 / ICE Medium 0.0107. Applied to LCV because the source gives no BEV row for LCV -- a declared category transfer, no longer a free assumption"
bev_brake_mult,0.2113,factor,"guidebook-internal ICE->BEV ratio, medium passenger car: Tab. 3-6 BEV Medium 0.0030 / ICE Medium 0.0142. Physical basis in the source text: PMP friction-brake coefficient 0.17 for electric, combined with the higher WLTP vehicle mass"
bev_road_mult,1.1267,factor,"guidebook-internal ICE->BEV ratio, medium passenger car: Tab. 3-8 BEV Medium 0.0169 / ICE Medium 0.0150 (mass effect on road abrasion)"
kg_per_parcel,1.65,kg,"ASSUMPTION, deliberately rounded (user 2026-07-31). Order of magnitude supported by three sources: Amaral et al. 2026, 'Empirical analysis of e-commerce delivery operations: from parcels to tours', Transportation Research Part E, Tab. 1 -> mean 1.6478 kg (only measured mean; BRAZILIAN data, declared transfer); Rajendran & Harper 2021, 'Simulation-based algorithm for determining best package delivery alternatives under three criteria: Time, cost and sustainability', TRIP -> 1-350 lbs, >50 % under 5 lbs (no mean given); Mohri, Nassir, Lavieri & Thompson 2024, 'Modeling package delivery acceptance in Crowdshipping systems by Public Transportation Passengers: A latent class approach', Travel Behaviour and Society 35, 100716 -> 0.5-5 kg. MEAN not median - total on-board mass = n x mean; Amaral median 0.6950 would understate by 58 %. Plausible band on the mean 1.3-2.5 kg (~16 pp on the allocation share at 50 parcels)"
kg_per_passenger,80.0,kg,"SETTING, not a source: common road-transport convention, excl. luggage. Only the ratio to kg_per_parcel drives the allocation, so this weighs as much as the sourced parcel mass. Pure post-processing: changing it needs no sim rerun and leaves total_* unchanged"
slots_per_seat_equiv,2.5,slots/seat,"scenario-defined capacity equivalence for the alternative allocation basis: 20 parcel slots / 8 seats (1c vehicle); sensitivity companion to the mass basis"
ev_range_km_low,150.0,km,"pessimistic real-world winter range, e-LCV (sweep threshold; discriminating: 0-13.4% tour exceedance across the 12 freight runs, 2026-07-31)"
ev_range_km_mid,200.0,km,"mid real-world range, e-LCV (sweep threshold)"
ev_range_km_high,250.0,km,"optimistic real-world range, e-LCV (sweep threshold; 0% exceedance in all runs -- kept as the upper anchor, NOT as a pass/fail gate)"
